fips,value
1001,0.476892441
1003,0.506818139
1005,0.432134008
1007,0.400442776
1009,0.434918059
1011,0.388141591
1013,0.41592196
1015,0.447683547
1017,0.402388489
1019,0.408646608
1021,0.420397207
1023,0.415030597
1025,0.417851011
1027,0.405083944
1029,0.413293064
1031,0.476524417
1033,0.463030195
1035,0.369166165
1037,0.372078736
1039,0.440968237
1041,0.416359995
1043,0.458066385
1045,0.453821093
1047,0.39947994
1049,0.440828647
1051,0.476003805
1053,0.415120325
1055,0.443202358
1057,0.40296981
1059,0.416114809
1061,0.412555934
1063,0.373387186
1065,0.373546156
1067,0.447687194
1069,0.464055315
1071,0.413118136
1073,0.507638832
1075,0.413762514
1077,0.473413368
1079,0.400111587
1081,0.486308603
1083,0.474003665
1085,0.391343758
1087,0.416683904
1089,0.537990099
1091,0.421757063
1093,0.421227752
1095,0.439879962
1097,0.467182127
1099,0.427912318
1101,0.505084904
1103,0.475274869
1105,0.385137324
1107,0.420052075
1109,0.437826389
1111,0.414251253
1113,0.417827429
1115,0.447599024
1117,0.564330097
1119,0.421335677
1121,0.404931851
1123,0.427878839
1125,0.489582752
1127,0.415749404
1129,0.4027184
1131,0.373554932
1133,0.421993266
2013,0.446024349
2016,0.533099318
2020,0.544572495
2050,0.413905881
2060,0.459072688
2068,0.525867517
2070,0.400292018
2090,0.51060332
2100,0.538127967
2110,0.58399481
2122,0.482344482
2130,0.516530189
2150,0.537603897
2164,0.461195712
2170,0.476397579
2180,0.41286196
2185,0.421183821
2188,0.399887491
2220,0.543827439
2240,0.452750627
2261,0.5019186
2270,0.370629257
2282,0.545173163
2290,0.383311341
4001,0.380142556
4003,0.489727997
4005,0.533189806
4007,0.464947797
4009,0.444041561
4011,0.444541665
4012,0.413399823
4013,0.559836489
4015,0.446298765
4017,0.438145787
4019,0.546973277
4021,0.477626783
4023,0.500795824
4025,0.521502499
4027,0.472842228
5001,0.455472144
5003,0.436234643
5005,0.491036972
5007,0.521243231
5009,0.481526726
5011,0.454297952
5013,0.42682563
5015,0.478564734
5017,0.433966389
5019,0.475239106
5021,0.451387964
5023,0.476464361
5025,0.45548805
5027,0.480969783
5029,0.453475435
5031,0.475543478
5033,0.468627559
5035,0.432350164
5037,0.433998532
5039,0.459573254
5041,0.430880548
5043,0.466198471
5045,0.513104205
5047,0.466260481
5049,0.454065593
5051,0.486435855
5053,0.455700172
5055,0.438526307
5057,0.424177971
5059,0.431288869
5061,0.449927386
5063,0.461869913
5065,0.454745893
5067,0.406312397
5069,0.469456678
5071,0.458730002
5073,0.451667518
5075,0.456787216
5077,0.434642345
5079,0.454817129
5081,0.415121641
5083,0.438121223
5085,0.481208595
5087,0.413768571
5089,0.472688822
5091,0.439644943
5093,0.386489002
5095,0.438720554
5099,0.445347532
5101,0.432790446
5103,0.454932396
5105,0.439542868
5107,0.386502244
5109,0.45741523
5111,0.429471156
5113,0.429855477
5115,0.48273115
5117,0.44710204
5119,0.530546147
5121,0.447868887
5123,0.412350103
5125,0.492314686
5127,0.417303892
5129,0.452819305
5131,0.491853215
5133,0.429443378
5135,0.461103918
5137,0.448081193
5139,0.455099292
5141,0.446086379
5143,0.512033783
5145,0.488545521
5147,0.426699421
5149,0.434186678
6001,0.600203433
6003,0.611055599
6005,0.538693811
6007,0.52259298
6009,0.531304799
6011,0.504870815
6013,0.600403543
6015,0.487240666
6017,0.582264136
6019,0.512764346
6021,0.480029525
6023,0.528364536
6025,0.470054525
6027,0.514251425
6029,0.477891216
6031,0.483198248
6033,0.467812052
6035,0.495279275
6037,0.555848977
6039,0.484402166
6041,0.671081052
6043,0.508888562
6045,0.511253528
6047,0.486302317
6049,0.471284383
6051,0.565129233
6053,0.54835206
6055,0.590891891
6057,0.585681477
6059,0.616630942
6061,0.615247809
6063,0.51397414
6065,0.525976134
6067,0.564840033
6069,0.56009457
6071,0.507440219
6073,0.593040082
6075,0.632522585
6077,0.519493337
6079,0.593691587
6081,0.627953273
6083,0.576970381
6085,0.625749635
6087,0.594278526
6089,0.515033876
6091,0.515862081
6093,0.483083946
6095,0.538097179
6097,0.577028797
6099,0.507622833
6101,0.514964821
6103,0.469823045
6105,0.444742079
6107,0.473336589
6109,0.525202394
6111,0.599635989
6113,0.599426177
6115,0.487933959
8001,0.517696362
8003,0.507322249
8005,0.592821163
8007,0.532352707
8009,0.481430077
8011,0.45731563
8013,0.631995981
8014,0.632501876
8015,0.577209743
8017,0.517494759
8019,0.595628659
8021,0.435296695
8023,0.406793792
8025,0.49534261
8027,0.55686809
8029,0.526799105
8031,0.56513173
8033,0.497985249
8035,0.643183851
8037,0.608093217
8039,0.568418987
8041,0.572558043
8043,0.515719504
8045,0.554642555
8047,0.560159642
8049,0.589065463
8051,0.611522331
8053,0.664847536
8055,0.474902121
8057,0.578721429
8059,0.606468613
8061,0.489339423
8063,0.513529909
8065,0.494516202
8067,0.564472302
8069,0.60410187
8071,0.477305153
8073,0.529324626
8075,0.535374397
8077,0.562295651
8079,0.683214629
8081,0.499851233
8083,0.504482889
8085,0.540060015
8087,0.512026904
8089,0.501416134
8091,0.648352123
8093,0.529268431
8095,0.562391459
8097,0.648021695
8099,0.454248801
8101,0.512568198
8103,0.541199902
8105,0.495211393
8107,0.619291963
8109,0.452514897
8111,0.544014507
8113,0.623085744
8115,0.479313341
8117,0.63230361
8119,0.575796457
8121,0.530435203
8123,0.546720817
8125,0.527869728
9001,0.643323226
9003,0.613958768
9005,0.603668417
9007,0.616430403
9009,0.597528002
9011,0.599806137
9013,0.597172146
9015,0.555298122
10001,0.535171038
10003,0.581956043
10005,0.537115072
11001,0.610613207
12001,0.543168596
12003,0.417612554
12005,0.497283214
12007,0.474395329
12009,0.550416556
12011,0.558520798
12013,0.43317107
12015,0.533961844
12017,0.499082064
12019,0.520396908
12021,0.568329094
12023,0.443818706
12027,0.448732984
12029,0.377328664
12031,0.525951356
12033,0.513257213
12035,0.526976882
12037,0.460548204
12039,0.420112558
12041,0.438958406
12043,0.39975275
12045,0.492637705
12047,0.419025067
12049,0.432254829
12051,0.422288107
12053,0.496517252
12055,0.465211454
12057,0.539656433
12059,0.406802395
12061,0.537415874
12063,0.456454687
12065,0.439194511
12067,0.416121301
12069,0.527523352
12071,0.527942196
12073,0.554121955
12075,0.396206686
12077,0.393264732
12079,0.413383637
12081,0.530178908
12083,0.486183632
12085,0.582573109
12086,0.554899473
12087,0.550768609
12089,0.514863949
12091,0.550944915
12093,0.41679947
12095,0.542916413
12097,0.475283781
12099,0.581958739
12101,0.504822528
12103,0.552017391
12105,0.492595617
12107,0.406200382
12109,0.582791298
12111,0.50501721
12113,0.513952945
12115,0.588098567
12117,0.571536273
12119,0.518294989
12121,0.425808716
12123,0.419837282
12125,0.398230197
12127,0.511468622
12129,0.470822912
12131,0.491602582
12133,0.419439635
13001,0.396665326
13003,0.366876504
13005,0.384631557
13007,0.36121882
13009,0.488151025
13011,0.46584281
13013,0.464924194
13015,0.467599472
13017,0.42334964
13019,0.405476564
13021,0.486196043
13023,0.428391624
13025,0.409001241
13027,0.405353479
13029,0.538978363
13031,0.474547939
13033,0.419299152
13035,0.464258172
13037,0.384857743
13039,0.517805943
13043,0.433542683
13045,0.470493322
13047,0.462789532
13049,0.416449635
13051,0.544445221
13053,0.476661768
13055,0.444701263
13057,0.537933262
13059,0.530317847
13061,0.410828321
13063,0.450430958
13065,0.435248563
13067,0.57279539
13069,0.413396607
13071,0.434226167
13073,0.573488319
13075,0.446829374
13077,0.495790683
13079,0.409984152
13081,0.426908738
13083,0.455641609
13085,0.534303997
13087,0.395067278
13089,0.540244299
13091,0.402358846
13093,0.440201851
13095,0.471324663
13097,0.498572544
13099,0.414946368
13101,0.335305769
13103,0.491871725
13105,0.42921152
13107,0.408959453
13109,0.419825185
13111,0.448852205
13113,0.593109162
13115,0.501593496
13117,0.579884717
13119,0.44896419
13121,0.561271825
13123,0.453043499
13125,0.41601832
13127,0.499570806
13129,0.448113938
13131,0.427993034
13133,0.502350339
13135,0.547897082
13137,0.488713847
13139,0.506815361
13141,0.433048473
13143,0.439389358
13145,0.501535896
13147,0.436735772
13149,0.438569509
13151,0.521475206
13153,0.520335854
13155,0.419527562
13157,0.481698063
13159,0.425085011
13161,0.413544646
13163,0.43441128
13165,0.412782292
13167,0.448126234
13169,0.487504129
13171,0.446364814
13173,0.388055339
13175,0.448022083
13177,0.496763455
13179,0.443430127
13181,0.44359655
13183,0.396578662
13185,0.494204343
13187,0.520427131
13189,0.434453912
13191,0.467182483
13193,0.426784579
13195,0.439779324
13197,0.408308226
13199,0.414176839
13201,0.39227963
13205,0.419499798
13207,0.483562728
13209,0.438387022
13211,0.52236102
13213,0.391077689
13215,0.497274661
13217,0.478515415
13219,0.58962308
13221,0.463036515
13223,0.496811636
13225,0.441636565
13227,0.505066806
13229,0.430367945
13231,0.47051332
13233,0.442506947
13235,0.47689059
13237,0.470486564
13239,0.434224442
13241,0.484625472
13243,0.399008101
13245,0.475449458
13247,0.511777844
13249,0.426836633
13251,0.412368208
13253,0.443072894
13255,0.453390247
13257,0.471099082
13259,0.388750821
13261,0.437184827
13263,0.399431667
13265,0.354061196
13267,0.390471711
13269,0.415425718
13271,0.413985663
13273,0.443215796
13275,0.474495424
13277,0.466097522
13279,0.445503742
13281,0.533780747
13283,0.426054421
13285,0.475931488
13287,0.459713008
13289,0.402955467
13291,0.503070697
13293,0.408134892
13295,0.436572347
13297,0.492545428
13299,0.461245425
13301,0.445038589
13303,0.451109209
13305,0.428470699
13307,0.367144456
13309,0.404970122
13311,0.500265224
13313,0.46386413
13315,0.416781208
13317,0.437990158
13319,0.424176657
13321,0.415358524
15001,0.539069801
15003,0.633661329
15007,0.582197618
15009,0.569318289
16001,0.603378269
16003,0.518992046
16005,0.537832132
16007,0.480845242
16009,0.467344784
16011,0.470466848
