fips,value
1001,0.572731684
1003,0.543193583
1005,0.415451739
1007,0.500688839
1009,0.487065882
1011,0.426985133
1013,0.501469897
1015,0.567084213
1017,0.489546656
1019,0.393446235
1021,0.488331948
1023,0.409488368
1025,0.578235393
1027,0.459328338
1029,0.483612442
1031,0.54659573
1033,0.534810544
1035,0.420705357
1037,0.432294166
1039,0.459352259
1041,0.46815043
1043,0.509429885
1045,0.48342088
1047,0.46409758
1049,0.488140005
1051,0.512195944
1053,0.489579439
1055,0.567513307
1057,0.452172693
1059,0.441824567
1061,0.478083714
1063,0.297842939
1065,0.410896777
1067,0.544435775
1069,0.601843463
1071,0.489234007
1073,0.628782293
1075,0.519630842
1077,0.538740694
1079,0.482107446
1081,0.525381613
1083,0.555519645
1085,0.417440938
1087,0.404559046
1089,0.591749969
1091,0.471723329
1093,0.458165035
1095,0.500282319
1097,0.558818874
1099,0.49161695
1101,0.57177064
1103,0.565705599
1105,0.36369754
1107,0.454830582
1109,0.483680016
1111,0.430970615
1113,0.47065521
1115,0.506403125
1117,0.584778974
1119,0.300576245
1121,0.508807074
1123,0.485378664
1125,0.573989755
1127,0.492735732
1129,0.451680759
1131,0.382820842
1133,0.477974324
2013,0.539623514
2016,0.573857283
2020,0.500686343
2050,0.428119006
2060,0.396852864
2068,0.354200746
2070,0.292555726
2090,0.427926916
2100,0.448626486
2110,0.416366807
2122,0.417709099
2130,0.345325929
2150,0.316063062
2164,0.452355386
2170,0.386548835
2180,0.412097221
2185,0.24670218
2188,0.416441373
2220,0.415015546
2240,0.294585218
2261,0.420805349
2270,0.599456377
2282,0.298814256
2290,0.414774612
4001,0.442611529
4003,0.440634098
4005,0.414431598
4007,0.419034403
4009,0.403328471
4011,0.46838372
4012,0.356060578
4013,0.534563025
4015,0.320323512
4017,0.375538712
4019,0.493623273
4021,0.399264726
4023,0.511168866
4025,0.384795469
4027,0.437242117
5001,0.481524265
5003,0.552456054
5005,0.453613589
5007,0.576377707
5009,0.501559424
5011,0.501573523
5013,0.358372129
5015,0.442862478
5017,0.415703866
5019,0.511970527
5021,0.440861665
5023,0.476853981
5025,0.381546881
5027,0.52026606
5029,0.462885074
5031,0.561542726
5033,0.476669441
5035,0.498599912
5037,0.48860851
5039,0.388145903
5041,0.481321548
5043,0.544538251
5045,0.525210008
5047,0.446898226
5049,0.323021259
5051,0.479543106
5053,0.460369795
5055,0.510981518
5057,0.461474651
5059,0.433973226
5061,0.444609282
5063,0.47215848
5065,0.423427389
5067,0.438838152
5069,0.530483604
5071,0.421528296
5073,0.369185247
5075,0.450436487
5077,0.385312415
5079,0.380237254
5081,0.448357805
5083,0.477950442
5085,0.470702822
5087,0.363455545
5089,0.401206677
5091,0.511248349
5093,0.466016757
5095,0.381939347
5099,0.427725169
5101,0.285878418
5103,0.482983173
5105,0.388004684
5107,0.412852787
5109,0.390730343
5111,0.487311193
5113,0.4235667
5115,0.479520989
5117,0.451203971
5119,0.594492485
5121,0.432239879
5123,0.459866362
5125,0.470648911
5127,0.408008013
5129,0.340401855
5131,0.533752875
5133,0.381130679
5135,0.468399263
5137,0.397036822
5139,0.573713326
5141,0.45074203
5143,0.528044597
5145,0.476608626
5147,0.439475204
5149,0.374728459
6001,0.592830856
6003,0.297815897
6005,0.457820703
6007,0.465154928
6009,0.494972476
6011,0.422071525
6013,0.567663463
6015,0.323250155
6017,0.533478239
6019,0.522913076
6021,0.437027865
6023,0.407606062
6025,0.454976839
6027,0.390313735
6029,0.452013131
6031,0.493647008
6033,0.390809477
6035,0.378364517
6037,0.626740211
6039,0.468440707
6041,0.59460136
6043,0.403712827
6045,0.425705889
6047,0.482959582
6049,0.288539466
6051,0.53119565
6053,0.514925222
6055,0.534142219
6057,0.495795968
6059,0.652588938
6061,0.5551599
6063,0.339313576
6065,0.506549111
6067,0.524864521
6069,0.493076978
6071,0.484557037
6073,0.630743281
6075,0.766419015
6077,0.521725919
6079,0.538996376
6081,0.666054476
6083,0.503940954
6085,0.680950844
6087,0.626900522
6089,0.41779705
6091,0.325332376
6093,0.351627074
6095,0.502291755
6097,0.527103894
6099,0.520719981
6101,0.422516153
6103,0.387846987
6105,0.243742371
6107,0.456553213
6109,0.448555739
6111,0.553946505
6113,0.529495576
6115,0.429211075
8001,0.503833319
8003,0.51560705
8005,0.593347927
8007,0.463029293
8009,0.348936097
8011,0.309692335
8013,0.626756331
8014,0.618108009
8015,0.507085238
8017,0.442329117
8019,0.420046273
8021,0.383822227
8023,0.421507812
8025,0.29951745
8027,0.472965628
8029,0.406165435
8031,0.656030175
8033,0.358214409
8035,0.63494631
8037,0.591588017
8039,0.402757123
8041,0.619935566
8043,0.375262646
8045,0.417002911
8047,0.389116598
8049,0.447067131
8051,0.517793406
8053,0.460942826
8055,0.404609331
8057,0.365880135
8059,0.593876794
8061,0.551871346
8063,0.459313155
8065,0.364475243
8067,0.515665942
8069,0.566816105
8071,0.342058639
8073,0.385797097
8075,0.461790976
8077,0.463040284
8079,0.455622813
8081,0.348525079
8083,0.385337982
8085,0.394981944
8087,0.488175889
8089,0.485298986
8091,0.421378798
8093,0.373028173
8095,0.445416298
8097,0.517658836
8099,0.402269484
8101,0.503197806
8103,0.403021781
8105,0.347681343
8107,0.451015658
8109,0.390270567
8111,0.4091758
8113,0.591647045
8115,0.433767884
8117,0.542321194
8119,0.446672796
8121,0.409739291
8123,0.48803719
8125,0.480562658
9001,0.68829169
9003,0.622978172
9005,0.604172369
9007,0.627157107
9009,0.627806735
9011,0.604866335
9013,0.623251847
9015,0.528613307
10001,0.495814787
10003,0.610027383
10005,0.5225916
11001,0.72561853
12001,0.5585671
12003,0.440490614
12005,0.505075456
12007,0.486695911
12009,0.537733159
12011,0.57877463
12013,0.389557796
12015,0.485681205
12017,0.451625692
12019,0.540224332
12021,0.490707111
12023,0.437941812
12027,0.391845673
12029,0.342055846
12031,0.603923833
12033,0.554351891
12035,0.495831923
12037,0.315994317
12039,0.452198294
12041,0.356742392
12043,0.307203961
12045,0.444363572
12047,0.400042685
12049,0.40744489
12051,0.353644365
12053,0.450912798
12055,0.410181401
12057,0.584105469
12059,0.375917683
12061,0.547646219
12063,0.462115563
12065,0.423227041
12067,0.484530415
12069,0.520074923
12071,0.505926032
12073,0.589776919
12075,0.38704544
12077,0.426608208
12079,0.414076788
12081,0.54768691
12083,0.484093345
12085,0.518007759
12086,0.590208294
12087,0.508380122
12089,0.526240357
