fips,value
1001,0.576322416
1003,0.49239924
1005,0.378272873
1007,0.472239969
1009,0.515862652
1011,0.333878016
1013,0.41715419
1015,0.459014976
1017,0.43319991
1019,0.416091329
1021,0.477025267
1023,0.414993761
1025,0.397525782
1027,0.442364827
1029,0.447090858
1031,0.482301975
1033,0.470578705
1035,0.391135324
1037,0.448122999
1039,0.414918879
1041,0.460032504
1043,0.478722722
1045,0.502277734
1047,0.377327021
1049,0.448793715
1051,0.502075491
1053,0.382341527
1055,0.438018458
1057,0.478450038
1059,0.457464851
1061,0.426583183
1063,0.381332199
1065,0.404968894
1067,0.439159624
1069,0.484656052
1071,0.461925562
1073,0.456985375
1075,0.392657725
1077,0.47966777
1079,0.506573575
1081,0.54908164
1083,0.500279146
1085,0.400012377
1087,0.405414262
1089,0.542764119
1091,0.435942091
1093,0.43945237
1095,0.466113886
1097,0.453948355
1099,0.42259042
1101,0.47207917
1103,0.501477389
1105,0.38359632
1107,0.420923353
1109,0.455810216
1111,0.420647973
1113,0.461030827
1115,0.499619151
1117,0.597451627
1119,0.395107004
1121,0.436879718
1123,0.434670153
1125,0.503623991
1127,0.435966245
1129,0.462205191
1131,0.379108398
1133,0.441716456
2013,0.617698209
2016,0.649504545
2020,0.637498786
2050,0.472109437
2060,0.705878698
2068,0.722818813
2070,0.545104672
2090,0.643727049
2100,0.575080351
2110,0.655544397
2122,0.546024318
2130,0.582973319
2150,0.684962727
2164,0.639172677
2170,0.584090511
2180,0.505286446
2185,0.554016173
2188,0.547863601
2220,0.613262224
2240,0.628511484
2261,0.624853666
2270,0.520349345
2282,0.64532636
2290,0.458393034
4001,0.439985869
4003,0.474119917
4005,0.550256218
4007,0.414808942
4009,0.464842306
4011,0.587834725
4012,0.400883107
4013,0.537386452
4015,0.419538674
4017,0.443755055
4019,0.496809107
4021,0.492134975
4023,0.473926169
4025,0.435688399
4027,0.491089843
5001,0.469426563
5003,0.460248899
5005,0.426011277
5007,0.575079147
5009,0.468700735
5011,0.404305302
5013,0.507951516
5015,0.450151453
5017,0.32825818
5019,0.460002957
5021,0.426747304
5023,0.445379362
5025,0.464084537
5027,0.429894122
5029,0.437964775
5031,0.495274344
5033,0.523621368
5035,0.444019999
5037,0.491814063
5039,0.423145505
5041,0.427657021
5043,0.462807954
5045,0.557891405
5047,0.461132065
5049,0.409997776
5051,0.407107653
5053,0.551946867
5055,0.499113028
5057,0.447119218
5059,0.462580622
5061,0.46045262
5063,0.471261251
5065,0.378801258
5067,0.359689102
5069,0.414059215
5071,0.462373542
5073,0.396947181
5075,0.451154067
5077,0.351069412
5079,0.324031622
5081,0.493841786
5083,0.468823063
5085,0.560295692
5087,0.502129606
5089,0.415988469
5091,0.467967864
5093,0.449050449
5095,0.377932385
5099,0.414499924
5101,0.427517481
5103,0.421255768
5105,0.496192894
5107,0.380069429
5109,0.440379789
5111,0.409818126
5113,0.470065888
5115,0.517298515
5117,0.455122246
5119,0.483835622
5121,0.423301283
5123,0.349392285
5125,0.553370386
5127,0.445006629
5129,0.441039722
5131,0.489297246
5133,0.503580475
5135,0.391170401
5137,0.438464032
5139,0.431403013
5141,0.384105894
5143,0.548531263
5145,0.498907866
5147,0.374833842
5149,0.498432897
