fips,nameState,nameCounty,abState,SC,PVID,PR,CF,PM
1001,Alabama,Autauga County,AL,0.481109268728801,0.560983259811973,0.443379043,0.483440116370941,0.361128084168753
1003,Alabama,Baldwin County,AL,0.502377616491326,0.493661390610344,0.6982571,0.508494206473076,0.3002920021722
1005,Alabama,Barbour County,AL,0.42240832475407,0.324514936002252,0.501233137,0.4206520427173,0.361506554081378
1007,Alabama,Bibb County,AL,0.396582359107154,0.484571407892393,0.422967629,0.392529029771941,0.389806179572503
1009,Alabama,Blount County,AL,0.466796728045169,0.537791778780261,0.482462274,0.412418749204524,0.412407115657878
1011,Alabama,Bullock County,AL,0.48093454038723,0.190243139754335,0.482462274,0.378499192165842,0.382287959847628
1013,Alabama,Butler County,AL,0.391302835682841,0.354188748736164,0.501233137,0.423704653802429,0.354106368772128
1015,Alabama,Calhoun County,AL,0.458745599192084,0.423942855055029,0.46319282,0.471203378560102,0.436996061992878
1017,Alabama,Chambers County,AL,0.418900540898342,0.421735027470901,0.443379043,0.426895744973864,0.413674303927128
1019,Alabama,Cherokee County,AL,0.369987247062125,0.446335967177482,0.501233137,0.413213108953435,0.419499973741128
1021,Alabama,Chilton County,AL,0.422724378884051,0.452528023570574,0.482462274,0.39230755324486,0.377965952933753
1023,Alabama,Choctaw County,AL,0.38506563610835,0.376063279818909,0.537432386,0.38463945720595,0.357964739435878
1025,Alabama,Clarke County,AL,0.409112257522042,0.277998899931122,0.537432386,0.419790024685518,0.338109635952753
1027,Alabama,Clay County,AL,0.414993180574924,0.468315730429435,0.482462274,0.427935038478514,0.410412976307475
1029,Alabama,Cleburne County,AL,0.384909951806218,0.490778170859585,0.482462274,0.392303002231971,0.408538526682628
1031,Alabama,Coffee County,AL,0.493645737169668,0.438561334659281,0.554925679,0.518990876987952,0.346892968842628
1033,Alabama,Colbert County,AL,0.445005149463095,0.455480345063962,0.46319282,0.468532513358473,0.468044648688755
1035,Alabama,Conecuh County,AL,0.376723878941283,0.314967737983696,0.501233137,0.376546615292088,0.353983166670628
1037,Alabama,Coosa County,AL,0.391118101055279,0.420341761670867,0.422967629,0.358376215223386,0.396398807957878
1039,Alabama,Covington County,AL,0.367559084611,0.383946236808208,0.588834438,0.456011174819924,0.358851618192003
1041,Alabama,Crenshaw County,AL,0.313646788486447,0.398847423838116,0.519544993,0.432719166081137,0.357157851649003
1043,Alabama,Cullman County,AL,0.454367453803462,0.488570109902551,0.605295189,0.451139398600773,0.426894223960503
1045,Alabama,Dale County,AL,0.479342969392661,0.492685770114236,0.605295189,0.474056632577504,0.348416245874878
1047,Alabama,Dallas County,AL,0.407065855307765,0.247867036863659,0.501233137,0.410743842694673,0.384062948897128
1049,Alabama,DeKalb County,AL,0.499868366386715,0.445457292901789,0.652928825,0.420959232369808,0.437055647333493
1051,Alabama,Elmore County,AL,0.46755967873966,0.522173859852364,0.443379043,0.46799604706588,0.371581700532503
1053,Alabama,Escambia County,AL,0.406626268900306,0.345312876603218,0.519544993,0.416317444378612,0.332151644532262
1055,Alabama,Etowah County,AL,0.466276897385139,0.41546888076795,0.588834438,0.454418905746173,0.43679320998816
1057,Alabama,Fayette County,AL,0.361506970892307,0.486754934352037,0.443379043,0.418740548293463,0.429805958909253
1059,Alabama,Franklin County,AL,0.492927026394758,0.432659935278807,0.46319282,0.428054711712668,0.452155749295003
1061,Alabama,Geneva County,AL,0.380777022953518,0.412314286885341,0.605295189,0.431167341513556,0.338855947356503
1063,Alabama,Greene County,AL,0.355157969804942,0.296716294827655,0.422967629,0.358525652482549,0.386295740318253
1065,Alabama,Hale County,AL,0.371757296880297,0.323245762370967,0.443379043,0.378828453265555,0.372556264987628
1067,Alabama,Henry County,AL,0.445580517533967,0.416733481744464,0.519544993,0.43845419086751,0.357049442309253
1069,Alabama,Houston County,AL,0.488864653019661,0.410317799419863,0.519544993,0.47317625750546,0.360387211134613
1071,Alabama,Jackson County,AL,0.383140807092207,0.464072466206888,0.554925679,0.430487087071408,0.442716882277128
1073,Alabama,Jefferson County,AL,0.56599451435081,0.36987588375901,0.727359887,0.515585106500136,0.425523246598084
1075,Alabama,Lamar County,AL,0.367234164370746,0.344339824683491,0.519544993,0.424468702909986,0.423942957771878
1077,Alabama,Lauderdale County,AL,0.460812029115168,0.447276618875623,0.443379043,0.487035266695233,0.465416270335003
1079,Alabama,Lawrence County,AL,0.379642593652921,0.536131392898066,0.482462274,0.38803762940178,0.436100773588753
1081,Alabama,Lee County,AL,0.513000009094371,0.452224623383155,0.46319282,0.484056478527532,0.377218240969003
1083,Alabama,Limestone County,AL,0.498580331294742,0.486806674907679,0.482462274,0.46134403651876,0.440063123639378
1085,Alabama,Lowndes County,AL,0.367404832987111,0.276849439365339,0.401895782,0.363873179638877,0.354147148359753
1087,Alabama,Macon County,AL,0.469684907274815,0.304707094217257,0.482462274,0.413329907810274,0.376876469609003
1089,Alabama,Madison County,AL,0.593295670928704,0.48293326232539,0.46319282,0.564637633220222,0.470679434766379
1091,Alabama,Marengo County,AL,0.415500425165857,0.334586180399994,0.422967629,0.420893365472894,0.369893813274253
1093,Alabama,Marion County,AL,0.352383390376797,0.445027390543131,0.501233137,0.443208984192982,0.429906878091253
1095,Alabama,Marshall County,AL,0.505705191469397,0.43619830369775,0.588834438,0.457229112913899,0.442171027935378
1097,Alabama,Mobile County,AL,0.511530907807804,0.389265033978777,0.683381924,0.479809289779007,0.317414283486431
1099,Alabama,Monroe County,AL,0.418198147942312,0.34265656318475,0.501233137,0.430898850002766,0.338763712033253
