fips,nameState,nameCounty,abState,SC,PVID,PR,CF,PM
1001,Alabama,Autauga County,AL,0.521776968194382,0.560222888668584,0.443379043,0.487302851604265,0.427991244098753
1003,Alabama,Baldwin County,AL,0.521229828672142,0.493120850865512,0.6982571,0.513021673315789,0.3764945737682
1005,Alabama,Barbour County,AL,0.462785282103399,0.33648933420524,0.501233137,0.423020075123104,0.380840452806878
1007,Alabama,Bibb County,AL,0.42319063759863,0.483305292160783,0.422967629,0.392097422837551,0.410259714937003
1009,Alabama,Blount County,AL,0.525192658167329,0.525750344368381,0.482462274,0.420891046836203,0.459958695923628
1011,Alabama,Bullock County,AL,0.38459669380043,0.20278236030497,0.482462274,0.378028681268771,0.374361943715878
1013,Alabama,Butler County,AL,0.396712330149604,0.365969194626804,0.501233137,0.422721568501498,0.376341021818628
1015,Alabama,Calhoun County,AL,0.551155412636239,0.425317524776804,0.46319282,0.477581933059188,0.452291981664628
1017,Alabama,Chambers County,AL,0.512959581169481,0.426297134615867,0.443379043,0.424396179399784,0.425175038051128
1019,Alabama,Cherokee County,AL,0.434360719068078,0.442432858205231,0.501233137,0.414880993785671,0.447955630530628
1021,Alabama,Chilton County,AL,0.500538886142289,0.451490028821919,0.482462274,0.397215540591293,0.414496929312253
1023,Alabama,Choctaw County,AL,0.367608477406145,0.376492618285553,0.537432386,0.382306416893006,0.371339307800878
1025,Alabama,Clarke County,AL,0.446696402525131,0.287243086659927,0.537432386,0.420002668066737,0.340699546262003
1027,Alabama,Clay County,AL,0.421654028932461,0.46009928159338,0.482462274,0.427968257661329,0.424951446335475
1029,Alabama,Cleburne County,AL,0.45306419407347,0.476850618645956,0.482462274,0.398413246183325,0.437531989805128
1031,Alabama,Coffee County,AL,0.516885654702224,0.445686167718141,0.554925679,0.52185031670151,0.384309721446878
1033,Alabama,Colbert County,AL,0.477331811703215,0.456166149521378,0.46319282,0.473753290970183,0.488387828225505
1035,Alabama,Conecuh County,AL,0.421167041636605,0.324588216009208,0.501233137,0.379555721001372,0.348029507100628
1037,Alabama,Coosa County,AL,0.452390476578691,0.416789746745915,0.422967629,0.36256705236512,0.403015758851378
1039,Alabama,Covington County,AL,0.362788666531089,0.382315305405252,0.588834438,0.459116368106926,0.361573727877753
1041,Alabama,Crenshaw County,AL,0.447996012670656,0.414057321538586,0.519544993,0.429114842964992,0.364581431738753
1043,Alabama,Cullman County,AL,0.499171879033835,0.480764701231816,0.605295189,0.453200722633417,0.455552039379503
1045,Alabama,Dale County,AL,0.537480551282819,0.501430776952723,0.605295189,0.479070878332987,0.374382739403628
1047,Alabama,Dallas County,AL,0.480151694875377,0.249982154696795,0.501233137,0.411872132108198,0.398601418925128
1049,Alabama,DeKalb County,AL,0.532661155196164,0.433946204364786,0.652928825,0.42554442536806,0.454308229238993
1051,Alabama,Elmore County,AL,0.499397384270004,0.526980985362482,0.443379043,0.474391433989934,0.434221763855003
1053,Alabama,Escambia County,AL,0.529265273694317,0.353417182644535,0.519544993,0.422955868263297,0.341329045059012
1055,Alabama,Etowah County,AL,0.50504032301899,0.415642195843626,0.588834438,0.459218157642734,0.44466209901391
1057,Alabama,Fayette County,AL,0.402335630263617,0.485576981455154,0.443379043,0.415244722296355,0.430016493603003
1059,Alabama,Franklin County,AL,0.51826098616919,0.425825948403724,0.46319282,0.430778260030298,0.452485676046753
1061,Alabama,Geneva County,AL,0.460930515810596,0.400193941617257,0.605295189,0.43178653278906,0.345285931769003
1063,Alabama,Greene County,AL,0.337852850538381,0.30925551537829,0.422967629,0.361462255608773,0.396997428523503
1065,Alabama,Hale County,AL,0.344772864247361,0.342353216557938,0.443379043,0.380202265507753,0.396402141288128
1067,Alabama,Henry County,AL,0.470283241776154,0.429906585357083,0.519544993,0.436607938699043,0.383144435264253
1069,Alabama,Houston County,AL,0.525317872825797,0.417006949141403,0.519544993,0.475988446091501,0.390074081278363
1071,Alabama,Jackson County,AL,0.486001706528585,0.451506449328581,0.554925679,0.435609786465216,0.465411457043878
1073,Alabama,Jefferson County,AL,0.583797013057618,0.383309710493166,0.727359887,0.519686508805078,0.425079547932084
1075,Alabama,Lamar County,AL,0.377234527858377,0.349562196622904,0.519544993,0.426054042193872,0.443823702696628
1077,Alabama,Lauderdale County,AL,0.515564854685748,0.448605746893423,0.443379043,0.487802337770699,0.489479856126503
1079,Alabama,Lawrence County,AL,0.43780832238577,0.542292010840337,0.482462274,0.394314136611204,0.456032412081753
1081,Alabama,Lee County,AL,0.617525697944458,0.456567416372168,0.46319282,0.484939609206355,0.431014964459253
1083,Alabama,Limestone County,AL,0.542437819159801,0.489830303187948,0.482462274,0.464894273837187,0.484616593276378
1085,Alabama,Lowndes County,AL,0.397763409088485,0.289388659915974,0.401895782,0.365252767953935,0.390695565241753
1087,Alabama,Macon County,AL,0.488953561957418,0.322555636001582,0.482462274,0.405547633789334,0.411422680493503
1089,Alabama,Madison County,AL,0.584486545810623,0.492451983335627,0.46319282,0.567998521678015,0.511934475312879
1091,Alabama,Marengo County,AL,0.4561687731554,0.347717532127951,0.422967629,0.420164607172041,0.377334035100003
1093,Alabama,Marion County,AL,0.439106543986058,0.435416450325347,0.501233137,0.441051857664981,0.439030053520253
1095,Alabama,Marshall County,AL,0.560735368854424,0.427322727623184,0.588834438,0.460779108520361,0.469694193944128
1097,Alabama,Mobile County,AL,0.562475292995762,0.395874897268604,0.683381924,0.488240739318198,0.331868647243181
1099,Alabama,Monroe County,AL,0.504826890281832,0.341068823146245,0.501233137,0.431569236813716,0.360092293117503
