fips,nameState,nameCounty,abState,SC,PVID,PR,CF,PM
1047,Alabama,Dallas County,AL,0.480151694875377,0.249982154696795,0.501233137,0.406594792490228,0.384062948897128
1049,Alabama,DeKalb County,AL,0.532661155196164,0.433946204364786,0.652928825,0.420942645819415,0.437055647333493
1051,Alabama,Elmore County,AL,0.499397384270004,0.526980985362482,0.443379043,0.469988474254438,0.371581700532503
1053,Alabama,Escambia County,AL,0.529265273694317,0.353417182644535,0.519544993,0.415433787805503,0.332151644532262
1055,Alabama,Etowah County,AL,0.50504032301899,0.415642195843626,0.588834438,0.453029086494863,0.43679320998816
1057,Alabama,Fayette County,AL,0.402335630263617,0.485576981455154,0.443379043,0.415784024502517,0.429805958909253
1059,Alabama,Franklin County,AL,0.51826098616919,0.425825948403724,0.46319282,0.425564426339875,0.452155749295003
1061,Alabama,Geneva County,AL,0.460930515810596,0.400193941617257,0.605295189,0.429692524144082,0.338855947356503
1063,Alabama,Greene County,AL,0.337852850538381,0.30925551537829,0.422967629,0.356025428086696,0.386295740318253
1065,Alabama,Hale County,AL,0.344772864247361,0.342353216557938,0.443379043,0.376618132224542,0.372556264987628
1067,Alabama,Henry County,AL,0.470283241776154,0.429906585357083,0.519544993,0.437589266480581,0.357049442309253
1069,Alabama,Houston County,AL,0.525317872825797,0.417006949141403,0.519544993,0.471701866922429,0.360387211134613
1071,Alabama,Jackson County,AL,0.486001706528585,0.451506449328581,0.554925679,0.429998716344377,0.442716882277128
1073,Alabama,Jefferson County,AL,0.583797013057618,0.383309710493166,0.727359887,0.516727296435473,0.425523246598084
1075,Alabama,Lamar County,AL,0.377234527858377,0.349562196622904,0.519544993,0.422241348752443,0.423942957771878
1077,Alabama,Lauderdale County,AL,0.515564854685748,0.448605746893423,0.443379043,0.485637509199606,0.465416270335003
1079,Alabama,Lawrence County,AL,0.43780832238577,0.542292010840337,0.482462274,0.389182788138607,0.436100773588753
1081,Alabama,Lee County,AL,0.617525697944458,0.456567416372168,0.46319282,0.485875039957984,0.377218240969003
1083,Alabama,Limestone County,AL,0.542437819159801,0.489830303187948,0.482462274,0.463895853123676,0.440063123639378
1085,Alabama,Lowndes County,AL,0.397763409088485,0.289388659915974,0.401895782,0.362439157560566,0.354147148359753
1087,Alabama,Macon County,AL,0.488953561957418,0.322555636001582,0.482462274,0.407911048429977,0.376876469609003
1089,Alabama,Madison County,AL,0.584486545810623,0.492451983335627,0.46319282,0.566067153871538,0.470679434766379
1091,Alabama,Marengo County,AL,0.4561687731554,0.347717532127951,0.422967629,0.4191304390399,0.369893813274253
1093,Alabama,Marion County,AL,0.439106543986058,0.435416450325347,0.501233137,0.436822610176182,0.429906878091253
1095,Alabama,Marshall County,AL,0.560735368854424,0.427322727623184,0.588834438,0.456053415352649,0.442171027935378
1097,Alabama,Mobile County,AL,0.562475292995762,0.395874897268604,0.683381924,0.483074642314514,0.317414283486431
1099,Alabama,Monroe County,AL,0.504826890281832,0.341068823146245,0.501233137,0.429124084272577,0.338763712033253
1101,Alabama,Montgomery County,AL,0.564404254042776,0.392417075247822,0.501233137,0.511906610850229,0.413558543504728
1103,Alabama,Morgan County,AL,0.494987537643916,0.480239903112661,0.482462274,0.490511770254683,0.441837717643728
1105,Alabama,Perry County,AL,0.327114367783254,0.31173523057293,0.443379043,0.367954351528016,0.400051154199378
1107,Alabama,Pickens County,AL,0.397581875874577,0.392952762836246,0.443379043,0.408202492420659,0.394152996135628
1109,Alabama,Pike County,AL,0.548737063003909,0.338150021918153,0.422967629,0.473073681276718,0.357605517038003
1111,Alabama,Randolph County,AL,0.490814645349863,0.359873321291229,0.482462274,0.418441246751392,0.409347442932878
